,comments
2429,Là sao vậy ba? Rút kinh nghiệm dữ chưa?
2430,"Chưa phản động cũng tiếp cận với phản quốc, vậy nên k nghe trình bày, cút"
2431," username  mày mới là phản quốc, bán nước cho giặc. Hán nô."
2432,"giải thích kỳ ghê, người của công chúng có ăn có học. vào phòng thấy cái cờ nhậy cảm thì phải cất đi chứ để chềnh ềnh quay và tự tay up youtobe , fb mà bảo lọt ra ngoài là sao. người thường họ còn biết phân biết đây ng của công chúng mà kỳ vậy. nguỵ bi… See more"
2433, username 
2434, username  bẩn nước sông b ôi :)))
2435, username  osen đã từng là đảng viên từ khi còn là sinh viên. Sau đó bị khai trừ ra khỏi đảng vì sao
2436, username  vì o đã đội lên đầu tấm cờ 3 sock
2437," username  quá chuẩn luôn bọn này nó kiếm tiền của dân Vn mang xang mẽo xây dựng thế mới kinh chứ,kiểu ăn cây táo dào cây xung."
2438, username  Vấn đề là cái tổ chức hai đứa nó tham gia biểu diễn gây quỹ là của bọn phản quốc tổ chức . Chúng nó nói là không để ý thì quá vô lý luôn .
2439, username  thì đó thế mới ko thuyết phục mà vẫn coa đứa bênh thì chắc chỉ có thể là cùng bè vs n
2440,Hai anh chị sẻ được định cư tại mỹ và biến khỏi đất nước hình chử S của chúng tôi
2441," username  chưa chắc, dân VN tẩy chay như cc, qua 1 thời gian im hơi thì đâu lại vào đấy. Tinh thần tẩy chay của dân VN chả khác yêu nước online: nửa mùa."
2442, username  không bạn. Yêu nước ko thể nửa mùa. Nếu nó chìm mình xin hứa ngày nào cũng nhắc
2443," username  bọn yêu nước online nửa mùa đầy ra ấy bạn, lắm đứa lên mạng gặp ai trái quan điểm là gắn mác 3 sọc rồi chửi hăng say, chứ ngoài đời thì phá làng phá xóm, ăn bám báo cô"
2444," username  thật, tới Lê Búng còn được làm VTV."
2445, username  dân Việt ở VN ngày nay cần phải trải qua 1 cuộc thanh lọc tư tưởng và giá trị con người vì xã hội VN ngày nay cành lúc càng xuống cấp và nguy hiểm.
2446, username 
2447, username  bà chị nên lưu ý là trong bối cảnh VN và Mỹ đang muốn thắt chặt mối quan hệ ngoại giao thì những hành động khơi lại quá khứ 1 cách có chủ đích phá hoại và khích động lòng thù ghét dưới hình thức chủ nghĩa dân tộc sẽ không được chính phủ VN hoan nghênh đâu nha.
2448," username  dân VN là hội chứng đám đông chứ tự tôn dân tộc thì ít lắm, mà thường sẽ khg gáy hay a dua cứ lặng lẽ tẩy chay."
2449," username  do la dieu ma o VN ai cung thich, ke ca ong. Dm ong dung co xao L"
2450, username  có cái cc mà ai cũng thích
2451, username  có cái loại k có ae thân thích k có quê hương mới thích :))
2452," username  t đéo thích này. có tiền t vẫn thích ở vn đó.cái mỏ m đừng có xạo l , não vs miệng đi hơi quá nhanh r đó"
2453," username  chắc chỉ có loại như ô mới thích vậy, cho t sang Mỹ ở t cũng đéo sang nói thẳng luôn. Ae bạn bè gđ ko có sang làm cc gì bên đó. Chưa kể sang đó buồn buồn thằng nào nó ngứa mắt nó bòm cho cái thế là đóng hòm"
2454, username  thích cl... M thích thì m cút
2455," username  á à cali ngầm đây mà, xin lỗi nha chứ đùng có suy bụng ta ra bụng người. Con cháu bác hồ chưa chắc ai cũng muốn qua mĩ đâu, qua kiếm tiền rồi đem tiền đó về xây dựng tổ quốc chứ qua đó định cư thì đéo."
2456," username  đấy m thích thôi. Chứ bọn t ở quê hương, chó thích quán nào ăn quán đó, bia thích uống lúc nào uống, k bao giờ phải khát nước"
2457, username  nó ban cho tí dân chủ là nằm cái giường gỗ m8 có đóng nắp bây h :)))
2458, username  tiếng Việt có dấu câu đàng hoàng. Loại đéo có cội nguồn nên vốn ngữ pháp cũng dị tật luôn mà
2459, username  á à bắt được 1 con cali khát nước này
2460, username  á à đm thằng già
2461," username  có tiền tao ở VN sướng như tiên , sang đó cày khổ chết mẹ , tao quen ngủ tới 12 h trưa , chiều đi cafe , tối đi ăn nhậu với bạn bè , qua mỹ của m có được vậy không ? À chưa kể thỉnh thoảng bị pằng pằng trong siêu thị sợ lắm"
2462, username  dm packey khoat lac!
2463, username  3/// cayyyyy
2464, username  :))) là cho cả họ qua thì hoan hỉ qua nhỉ :)))) lại hợp lý
2465," username  kinh tế, quan hệ có đéo đâu mà muốn qua đó là qua . Xin cái visa đéo còn được chứ ở đó mà mõm. Không vì thế mà toàn con cha cháu ông cán bộ đều cho con qua bển du học, qua định cư đâu. Đéo qua được thì mõm là giỏi."
2466, username  chỉ có loại tây nội địa đến tiếng việt còn k viết dc tử tế mới thích thôi
2467, username  ý kiến cá nhân m chứ ai đâu mà chúng tôi
2468, username  bớt mõm tó vó ngựa lại đê
2469," username  haha,mày k đi được Mỹ nên mày mới nói thế chứ gì :)) Y chang cái ảnh đại diện và ảnh bìa! 1 bên thì 6 múi 1 bên đống mỡ Làm ko đc như người ta thì đi photo :)) … See more"
2470," username  vào trang cá nhân xem củng kỷ đó, cẩn thận cái mồm chứ không lại mang tật về mình nửa ngu như bà bò nghỉ sao nhìn cái ảnh vậy mà nói photo"
2471, username  coi ngày đăng ảnh và caption là hiểu r :))
2472," username  đâu phải ai định cư Mỹ cũng bị chỉ trích nhiều như đôi này đâu ạ? Quan trọng là đi theo kiểu nào, chứ kiếm tiền cho đã ở VN xong qua Mỹ 2 hôm treo cờ 3 que thì bị chửi cũng chả oan ạ"
2473, username  mày bị ngu hả? mày viết không suy nghỉ hả? Cờ 3 sọc thì liên quan cái lồn gì việc ai cũng thích qua Mỹ? bộ qua Mỹ là phải để cờ 3 sọc hả thằng lồn ngu học
2474, username  khâm phục tuổi trẻ tài cao
2475, username  cái lũ này mới là thảm hoạ này! yêu nước phải động não một chút.
2476, username  Sợ đến vãi ra quần vì lá cờ mà cay cú đến thế sao…kkk
2477, username  chú nói hay .lá cờ đó giết bao nhiêu a hùng nước nhà. chú sống tới chừ nhờ đâu mà chú phủi công on ông cha vậy.
2478," username  cút càng nhanh càng tốt ,nge muốn nổi điên"
2479,Thờ 3 que còn sợ mất chén cơm ở VN ak. Đừng thanh minh giải thích cc j cả. T đéo tin
2480,Thắc mắc chút. Nghệ sĩ Việt nhờ khán giả Việt và nhà nước. Họ thích sang đất nước kinh tế số 1 thế giới làm từ thiện nhỉ. Bên đó phúc lợi nhà nước tốt cơ mà
2481, username  đúng
2482, username  có siêu mẫu nào đó còn có ng quyên góp giúp 80k đô. Haizzz Mê tây k thành công
2483, username  qua đấy làm từ thiện đâu b. Qua đấy làm tour gom tiền từ thiện cho trung tâm bảo trợ nuôi dưỡng trẻ mồ côi và khuyêt tật Hướng Dương ấy b.
2484, username  t k rõ. Thế hướng dương là ở VN à bn Nghệ sĩ mà ngao du với ba que xỏ lá là mệt rồi
2485," username  uh b tt ấy ở vn, b lên gg tìm trung tâm bảo trợ xã hội và nuôi dưỡng trẻ mồ côi hướng dương . Họ có web riêng ấy. Nhiều nghệ sĩ từ thiện ở đây r ý"
2486," username  tìm hiểu kỹ lại đi nhé, nó đưa xho trường hướng dương có 20tr thôi, còn lại đi về đâu ko ai rõ, nó làm từ thiện kiểu thuỷ tiên á. Nó là bạn thân của 3 sọc nữa, thôi bản chất con người đã phơi bày, đừng lấp liếm nữa."
2487," username  bọn mình có nói vấn đề đưa hết tiền hay k đâu. Mình nói với b Cua về việc b ấy đọc nhầm, là k phải cầm tiền qua đấy từ thiện mà là qua đấy gây quỹ và trung tâm đấy ở Vn thôi"
2488, username  bọn nghẹo sĩ xướng ca vô loài :))) thì khá hơn thế nào được bác
2489, username  bên tây nó gọi là vận tải từ thiện. Hjhj
2490, username  khu cali thì là thánh địa của bọn 3 que r
2491," username  nhưng cầm đầu trường là lão 3 que Nguyễn Thế Vinh , thì t ko tin tiền được ủng hộ cho người Việt Nam đâu"
2492, username  cái tt đứng ra tổ chức lại là cái tt chống phá nhà nước mình nhiều nhất ở texas đấy
2493, username  bênh à :)) họ hàng nhà m à mà bênh thế :))
2494," username  bên đó phúc lợi tốt vì thuế cao thôi, toàn thuế nhà thuế đất ko ah"
2495, username  t lạ gì chứ. Chết còn k giám chết ấy. Có siêu mẫu gì đó 80.000 đô
2496, username  Giấc mơ mĩ đăng bài vào ngày 19/5 nó mới chịu
2497, username  mẹ nó giấc mơ Mỹ vào ngày sinh nhật của chủ tịch Hồ Chí Minh luôn mới ác nhỉ.neu nó là người yêu nước thì ko bao giờ đăng vào cái bối cảnh lịch sử.tháng 5 như vậy.
2498, username  nghệ sĩ ưu tú đăng mới ghê chứ
2499," username  đọc kỹ chưa, nta đi kêu gọi quyên góp cho các cơ sở cần giúp đỡ ở vn, bà đọc kỹ truoc khi cmt đi"
2500, username  thì đã viết thắc mắc chút còn gì. Chứ t đâu dùng câu khẳng định.lại vận tải từ thiện giống mấy a gừng sĩ đi trước
2501, username  từ thiện nó ở trên poster thôi. Chứ trung tâm đó dc bao nhiêu % thì trung tâm đó cũng đél quản dc
2502, username  ông đọc chưa cơ sở đó của thằng 3///
2503, username  nhục
2504, username  đọc kỹ chưa ??? Nó đi hát kêu gọi từ thiện cho tổ chức của bọn 3 que chứ tổ chức nào của VN mình ???
2505," username  ông đui hay sao không thấy nó ghi rõ là ủng hộ cơ sở khuyết tật tại mỹ à,VN đâu ra"
2506, username  hướng dương là ở VN thì phải. Nó viết kiểu dắt mũi k rõ ràng là ở VN .
2507," username  mày mù nhận thức hả, gây quỹ tại mỹ, ủng hộ về cơ sở hương dương, mày ngu hiểu ak"
2508," username  ừ, chú cứ tin bọn 3 que có ngày nó đâm đồng bào. Cả gia đình bạn nữa"
2509," username  chưa hết, quyên góp xong nó chỉ nhả ra 20tr cho trường thôi, còn lại nó húp hết"
2510, username  mắt sang vành à cơ sở của bọn đu càng chứ của vn đéo đâu
2511," username  quên góp gì bạn, lấy quốc tịch rồi. Thử nghĩ xem 2 người hoạt động nghệ thuật qua đó sống bằng gì, biểu diễn cho đối tượng nào xem? Giờ không lẽ vợ đi hát, chồng diễn xiếc cho người Mỹ xem? Qua đấy có quốc tịch, làm nghệ thuật cho người Mỹ gốc … See more"
2512," username  nghe nó sủa vậy thôi,chứ đã thấy nó đem tiền cho các nơi cần giúp đỡ ở V.n theo lời nó nói chưa."
2513, username  nó xin quyên góp rồi về đớp với nhau thì có. Cơ sở của 3/ thì tiền đấy không ăn thì cũng để trả cho mấy đứa phản động để quấy rồi đất nước thôi.
2514, username  bạn có biết nó dùng tiền để lôi kéo không ??? cho dù từ thiện ở VN thì tụi nó cũng có mục đích. chứ không phải từ tấm lòng nhân ái.
2515, username  Vấn đề là cái tổ chức hai đứa nó tham gia biểu diễn gây quỹ là của bọn phản quốc tổ chức . Chúng nó nói là không để ý thì quá vô lý luôn .
2516, username  giống cái bọn nhà thờ bên pháp cháy thì tỏ vẻ thương sót còn người dân việt nam khổ thì chiếm dụng từ thiện đúng là bọn khốn nạn đến thế là cùng ông giáo ơi?
2517, username  nó gọi là vận tải từ thiện. Bn để ý xem những ngày lễ lớn của đất nước. Những ngày tri ân các anh hùng liệt sĩ. K có mấy gừng sĩ nào đăng lên cả
2518," username  chuẩn luôn bọn khốn nạn, bao anh hùng liệt sỹ hy sinh để ta có hoà bình như hôm nay bọn nó không trân quý nhưng bón nó muốn nước ta như ly bi, irac, UK …chúng mới sướng"
2519, username  bác đang nói đến thằng mờ cờ lũ đấy à?
2520, username  nhiều thằng lắm. Thợ cắt tóc. Thằng già NSND hôm xưa 19-5 nó đăng là ngày sinh minh tuệ.những thằng gừng sĩ nó hai quốc tịch thì kệ cha nó.như những thằng ý khi đất nước có biến cố là nó bỏ đi đầu tiên
2521, username  điển hình là đờm vĩnh biệt.tôn vinh quốc tịch mỹ.đến lúc gãy chân mò về VN. Nghĩ nó hài. Cả thằng võng xếp duy lợi.nó sang bên kia rồi nó cắn VN
2522," username  đúng đấy bạn à, bọn nó không bao giờ yêu nguồn cội, chỉ muốn chống phá đất nước chẳng lý do gì mà chúng ta ko lên án chúng, tẩy chay chúng quyết liệt!"
2523, username  bình luận này phải đưa lên top một
2524, username  toàn vỗ gia cư ăn xin
2525, username  bác lại nói xạo rồi. G1 thế giới GDP 26.000 tỉ ai lại có ăn xin. Ốm đâu trực thăng pặc pặc pặc đến đón
2526," username  sang đó làm từ thiện, còn chết bên đó thì về kêu gọi VN ủng hộ =))"
2527, username  quỹ từ thiện này ở VN. Họ vận tải từ thiện thôi bạn. Ngao du với ba sọc là vứt đi rồi
2528, username  khi nào chết bên đó thì kêu dân VN ủng hộ tiền mai táng và tiền để đóng tiền học cho con học trường quốc tế
2529, username  vậy là thoát Việt k thành công như đờm vĩnh biệt
2530," username  diễn viên gì đó vừa tèo bên Mỹ ấy, vợ vừa kêu trời kêu đất vì giá cao kìa.cái hố để chôn là 41k,đắp nấm làm bia là 17k nữa.dự là tới đây cả trong và ngoài nước sẽ có một đợt quyên góp cho coi."
2531,"Mỹ Kiều cái này mình thấy nhiều. Cứ nghẻo cái là kêu gọi dân mình ủng hộ để hốt x á c về . Mà dân mình cũng dễ tính, khóc cái là cho luôn. Trong khi đó, nc nhà còn rất nhiều hoàn cảnh khó khăn cần đc giúp đỡ"
2532, username  thì những hoàn cảnh khó khăn đó họ ko có khả năng để MTQ biết mà giúp còn bọn kia thì khác
2533," username  ý mình là tiền đấy để còn hơn, đi cống tiến cho các zị trẻ thì thích Mỹ, già hoặc hết xiền thì lại nhớ đến gốc gác Quê hương đó. Mong ai có tiền nên tỉnh táo. Cho tiền ""đúng chỗ, đúng nơi quy định"""
2534," username  ngu vừa thôi, ng ta đi gây quỹ từ thiện cho trung tâm khuyết tật mồ côi Hướng Dương. Trung tâm mồ côi này ở vn nhá, nhưng ng ta sang mẽo gây quỹ để mang về vn. Khịa bớt ngu lại và đọc lại bài đi"
2535, username  thế đọc k hiểu là. Thắc mắc chút là câu nghi vấn. chứ đâu phải câu khẳng định. Nó chỉ vận tải từ thiện thôi à
2536, username  họ đâu có lm từ thiện ở đất nc mẽo kte số 1 thế giới đâu? Họ sang gây quỹ bên kte số 1 để mang về cho trại mồ côi vn mà? M ghi rõ ràng thế mà bắc bẻ gì nữa. Khịa ngu vcl ra. Đọc lại bài viết trên rồi bít m ngu cỡ nào
2537, username  t k biết trại mồ cô hướng dương là ở VN. Nhưng bọn này k tốt đẹp méo gì cả. Đăng lên góp từ thiện là cái cớ
2538," username  nghĩ cũng lạ,ai đó bên mỹ hay rêu rao vô gia cư còn sướng hơn đại gia VN mà ta"
2539, username  vô gia cư đây à bạn. Có bọn ba sọc nó ảo tưởng chứ việt kiểu yêu nước họ cho biết sự thật hết rồi
2540," username  thời trước bọn già chống cộng nhiều, nên đám ca sĩ hải ngoại thi nhau bu vào, rồi bọn trong nước cũng bu sang kiếm miếng ăn. Như con Thu Phương, thằng Bằng Kiều ấy, sang bển là bỏ trốn ở lại. Giờ bọn già tiệt hết, còn thế hệ 2, thế hệ 3 nó m… See more"
2541, username  bọn nghệ sĩ hải ngoại thì e k rõ. Nhưng mấy thằng nghệ sĩ trong nước mang 2 quốc tịch rồi đều là nhờ cái đất nước mày mới có cơ đồ. Nhưng cay nhất là nó sang xong rồi cắn đít VN
2542, username  ở đâu chả có người nghèo người giàu
2543," username  thật nc mk còn đầy nơi nghèo, kiếm tiền , dc ăn học trên đất nước mk từ thiện ở dell đâu ấy :)))"
2544, username  thằng bùi đầu bị ngã k chịu được chi phí còn phải bay về Việt Nam để chữa kia kìa khỏi chân song cái nó đeo luôn huy hiệu phản động mà hình như hai con lợn này chưa con nào đi từ thiện ở Việt Nam nhỉ
2545, username  nó có từ thiện thì cũng thuộc kiểu vận tải thôi bạn. Nghĩ nó cay Cơ đồ sự nghiệp là nhờ Việt Nam. Nhưng nó lại sang tung hô mỹ chê VN lười làm
2546, username  bọn đấy k cùng chung dòng máu với anh em mình.bọn đấy là bọn gét tổ quốc đâm đồng bào
2547, username  giờ chắc khán giả họ cũng tẩy chay phần nào rồ còn lại đám u mê thôi.
2548, username  chính xác
2549, username  ơ sứ sở thiên đường mà cũng có người phải sống nhờ từ thiện ak bạn
2550, username  kia là từ thiện ở VN. Gây quỹ Thiên đường mù chữ và vô gia cư. Giàu bọn tài phiệt thôi bạn. Chứ công dân hạng 3 k hoà nhập đc với xh nó thì sao mà khá đc. Làm ra 10k đô nộp thuế mất gần 4k. Nhà thì trả góp 30 năm có ng chưa trả nổi
2551," username  thế thôi tan giấc mơ hoa rồi . Ở vậy Việt Nam nhà cửa cha truyền con nối , có rau ăn rau có thịt ăn thịt chó lành"
2552, username  bọn này nó kiếm tiền ở vn rồi sang mĩ sài
2553, username  ấy thế mà có nghệ sỹ quốc tịch bêb bển nhưng về VIỆT NAM chữa bệnh
2554, username  qua đó diễn để có tiền từ thiện ở Vn mà bạn.
2555, username  thì mới thắc mắc ấy. Nhưng hội biểu diễn là ba que tài trợ. Hỏng rồi
2556, username  ước mơ mĩ mà.xong rồi mấy hôm nữa bệnh tật lại về Việt Nam! Chữa bệnh.mấy loại này cho cút hết.
2557, username  NÓI HAY
2558, username  bọn nằm chờ sung rụng dg chết đói chả phải sang đấy làm từ thiện
2559,Cua Lì Lợm đùng r chính vì phúc lợi tốt mới đi làm tự thiện chứ man
2560, username  vì bên đó chít không có đất trôn nên phải quyên góp
2561,Trăm năm mở cõi người ta Đã là xỏ lá chính là ba que Thương thay tỏ lòng yêu nước… See more
2562, username 
2563,À thì ra là vậy
2564,"Cơ mà đồng bào chúng ta rất đoàn kết mỗi khi có những sự việc mang tính chất phản động, phá hoại nhà nước hoặc phát hiện ra những con sâu núp bóng yêu nước để kiếm chác nhé. Nhất là sau lễ kỷ niệm chiến thắng điện biên phủ năm nay. Đi đâu mà thấy bọn c… See more"
2565,Tẩy chay cái bọn nghệ sĩ đi chúng nó toàn loại ăn cháo đá bát thôi. Người ma không biết tự tôn Dân Tộc mình thi còn thua con vật
2566," username  sang năm kỉ niệm 50 năm giải phóng MN. Tụi 3/ chắc phải chui vào hang, tự cắt wifi ẩn cả tháng ko có ở ngoài nghe dân ta nổ mà tức học máu lè lưỡi luôn"
2567, username  sang năm nước ta duyệt binh tinh thần yêu nước còn lên cao nữa. Chết cụ bọn 3 que đi
2568," username  sang năm đang tính diễu binh mang súng ống, xe tăng, tên lửa, máy bay ra chạy thì chắc hội 3/ nó tăng xông mất :)))"
2569, username  sang năm duyệt binh b ơi
2570,"Thiêm Trang sang năm 50 nam gp miền nam rồi 80 năm quốc khánh, diễu binh bọn 3/ chắc đau hơn thiến kkk"
2571, username  thôi
2572, username  cmt bạn mình uy tín
2573, username  yêu nước mà bạn tớ
2574, username 
2575, username  Sang năm kỉ niệm chẵn năm dịp 30/04/1975 với 02/09/1945 ở Hà Nội và TP Hồ Chí Minh thì bên đấy cay bằng chết đấy
2576, username  không được chê gì luôn hả
2577, username  giờ k còn như xưa nữa. Giờ ngta có nhận thức cả rồi.. Dễ gì dụ ae chửi rửa quê huơng mình nữa
2578, username  ở cây số 9 đường số 5 được mấy năm rồi mà nói chuyện như ở bển vậy?
2579, username  ko hiểu bạn muốn nói gì.
2580,Không thấy lũ này phản đối biển đảo nữa
2581, username  phá hoại đất nước là bọn tham nhũng sao tụi cháu câm như hến vậy. Vùi dập những người yếu thế là vinh quang à…kkk
2582," username  xin hỏi chú có ở Việt Nam ko a. Chú có gặp vấn đề gì về đọc hiểu ko. Các vụ án, các cá nhân tham nhũng bị bắt hàng loạt báo đài người ta đưa tin ầm ầm mà k biết hay sao đi nói câu thiếu muối thế. Tham nhũng , vi phạm đã có pháp luật, công a… See more"
2583," username  mày câm chứ ai câm? Tham nhũng không cần chửi chỉ có đủ bằng chứng cho vào lò thôi, còn cái loại việt gian thì phải chửi cho tiệt giống nòi"
2584, username  bọn tham nhũng nhà nước lôi đầu rồi đâu tới lượt bọn t. Có bằng chứng thg nào to tham nhũng thì cứ đưa ra đây.
2585, username  nó mõm ấy mà bro. Có trình độ gì đâu. Thuộc khối tự nhục cao với mũi có dây thừng ấy mà.
2586," username  toàn lũ dư lận viên bỏ đỏ bán nước hại dân, tay sai của giặc Tàu!"
2587,Bọn Yêu nước
2588," username  ở vn thì quen cái cảnh ca ngợi đảng r,, qua mỹ thì ngta tự do làm j làm,, chả liên quan,, chỉ có bọn cs sợ dân hiểu chuyện về ý nghĩa lá cờ 3 sọc rồi chế độ cs lung lay"
2589, username 
2590, username  sợ quá
2591, username  chúng m nên nhớ tiếng mẹ đẻ của chúng m là ở đâu nhé
2592, username  ý nghĩa là “khát nước” hay gì thằng Râucon?!
2593, username  3 sọc thất bại thì lm cc gì
2594," username  xời,các bác ấy chỉ giỏi biểu tình bên đó thôi chứ làm gì có cửa về VN mà chế độ CS phải sợ"
2595, username  49 năm rồi vẫn cay?
2596, username  vậy sao ủng hộ Giải Phóng Palestine lại bị đàn áp :'))) ?
2597, username  mày cùng một lũ với nó hả.sang bên mà sống đi ở đây thối lắm
2598, username 
2599,Nhảy sông hoàng hà là hết tội
2600,Tôi không tin
2601,Rồi nó giải thích cái cờ kia khúc nào vậy ta?
2602, username  nhà của tình nguyện viên
2603," username  nó nói không để ý, nhưng sờ sờ ra đó sao ko thấy được"
2604,Cali thì vẫn là cali . Chúng mình đang nuôi ong tay áo
2605, username  chỉ có bọn bác kỳ chuyen soi mói này kia thoi bọn nó xấu xa xưa h ai cũng kỳ thi
2606, username  cái lũ bán nước như chúng mày xứng đáng lưu vong . Sang mĩ tưởng là ngon . Ai ngơ dụng lều ở đường để đi ăn xin . Đã nv còn lắm mồm quay lại định đớp ng việt nam . Bọn tôi thách cả mấy đời cali . Chỉ đk cái sủa với làm hài thì giỏi
2607, username  kk thay cho từ sua sua chỉ là sử dụng cho bọn bác kỳ thôi
2608, username  còn mày là cái thứ j thế . Cũng là cali nhưng còn đk lưu vong ở miền nam à . Cắn giỏi đấy
2609, username  cắn nữa đi nam kì chó ơi
2610, username  bác kỳ an rau muống với cục cuc
2611, username  tên thì cũng ra j đấy . Nhưng óc thì bằng hạt đậu . Khổ thân cháu . Bị nhiễm chất độc da cam
2612," username  cái bọn ba que làm đỹ cho lính mỹ thấy tự hào quá nhỉ,lũ gọi giặc làm cha, bán nước cầu vinh."
2613, username  nam kì chó sống lưu vong . Húc đổ cái cổng mà cay quá
2614, username  mày gọi cả họ cali mày vào đây cào phím với t . Hn t đang rảnh .
2615," username  ngoài thở đc câu đấy thì đéo biết nói gì thêm,vì có đc đi học đệt đâu"
2616, username  mã bố con chó vện
2617, username  thêm 1 thằng s.ú.c.v.ậ.t.3que
2618, username  ko ăn lấy gì ỉa để cho thằng.ôn.g.n.ội.sú.c.v.ậ.t.của mày đớp
2619, username  m bỏ dấu tiếng việt đi. Cái loại phân biệt vùng miền thì loại k có não r. Soi cái đcu m ngu. Loại m muốn ng khác soi cũng đéo ai thèm đâu con lợn ngu
2620, username  cali con đã xoá hết bình luận
2621, username  ai kì thị thế. Nhóm chó vện 3/ chúng mày đang làm trò chia rẽ dân tộc để nhảy vào phá ah. Đu càng bố mỹ chúng mày bị rớt nên não có vân đề hả. Người VN tao éo có loại như mày đâu. Cái loại ăn cây táo rào cây sung để tên VN éo biết nhục
2622, username  nuôi khỉ dòm nhà nè.
2623,"Quan điểm của tui; 1 ; Phong sát cả hai vk ck nó , thậm trí cả nhà nó luôn, 2; ghép vào tội phản bội Tổ Quốc ( bắn bỏ ) … See more"
2624," username  Phản nước cầu vinh, cho nó cút luôn, chuyến này sao dám bén về nữa. Giấc mơ, thiên đường Cali thành hiện thực rồi"
2625, username  bay về vn là éo cho nhập cảnh vào vn nữa là xong.đuổi cmn đi là ok.cho thấy cái cảnh vất va vất vưởng
2626, username  dạ chuẩn luôn Bác
2627, username  Bọn này phải thịt khg thương tiếc.
2628, username  chuẩn luôn
2629, username  vn ta hiền chứ như bên anh ỉn triều tiên khéo họ phong sát cả họ.. Mẹ bọn ăn cây táo dào cây sung..
2630, username  bắn bỏ
2631, username  hơi bị cực đoan r đó má
2632, username  độc tài?(t ko phải 3/)
2633, username  âm binh
2634,Khi vui thì vỗ tay vào Đến khi hoạn nạn thì nào thấy đâu Quá tuyệt vời :)))
2635,3 que xỏ lá
2636,Đừng bán đứng tö quốc là được ....mọi sự đứng dan đều được mọi người trong nước yêu quý và ung ho
2637,
2638, username  lá sen này y chang não của mày! Sống mãi k chịu thấm cái gì hết toàn thấm cứt ki à
2639,À lại còn những việc tương tự xảy ra nữa à
2640,Tương tự cái I Ồ N. Đéo phải đứa trẻ lên 3 mà thiếu suy nghĩ. Suy nghĩ gì chả lẽ bọn tao không hiểu
2641,Chắc nó nhầm sinh tô bơ với c*t là 1 lên ăn cả luôn
2642,vụ này mà chìm thì tôi đến ạ các bác.
2643, username  mình nghĩ là không đâu vì nhiều người thấy lời giải thích của nó là ngụy biện
2644,"""VẬT THỂ LẠ"" cụ thể là U.F.O"
2645,Giờ thanh minh thì cờ hó nó cũng chẳng tin.đã phát hiện thêm 1 ổ.
2646,Cùng hội với TRỊNH DOANH NAM ở Thanh Hoá rồi
2647,"Đụng đến tổ quốc, những con ông cha đã ngã xg vì bọn cờ 3/, trong đó có ông ngoại tao. Tao sẽ chúc phúc cho họ hàng hang hốc nhà mi về đoàn tụ cờ 3/z"
2648,giờ chỉ đợi xuân lan lên bài kêu gọi từ thiện khuyên góp mua ô mô tẩy trắng cho o sen thui
2649,Trong bài viết đéo có câu nào nó khẳng định nó là công dân nước CHXHCNVN và cũng đéo có ý kiến về cờ 3/
2650,Nó lù lù oh đầu giường nv chỉ có n mù mới k nhìn thấy.
2651,Thôi thôi ngay đầu nằm mà bảo nầy kia.Ngay cả giấc mơ còn thấy mà kk
2652,À thì ra là thế.
2653,". một kẻ bắt cá hai tay, thật lố bịch."
2654,Dối
2655,Tín đeooo
2656,lương lẹo nữa rồi
2657,Như vậy là k có camera thì kệ mẹ cái cờ ở đấy hả
2658, username  sờ sờ ra đó mà nó nói không thấy
2659," username  đó là cờ của dân tộc Việt Nam, chứ ko phải thứ cờ máu chảy từ loz ra như cờ Tàu! Hán nô bán nước!"
2660,Hả Quốc Việt là ai vậy???
2661,Phong sát luôn
2662,Tất cả giải tán hết cho tao thằng nào có vợ về dọn dẹp nhà cửa cơm nước con nào có chồng ẵm con cho chồng làm việc… See more
2663, username  ranh roi sanh nong noi chi vi 1 la Co.
2664, username 
2665, username 
2666,Vũ Tiến Hải thui m im mồm lol m lại đi
2667,"Có thể nào bị gài k các chế, chứ chả ai để cái ly 3 que ngay đầu giường chênh vênh ntn cả, vck có tương tác n rơi cmn xuống đầu à"
2668," username  nó chênh vênh thế vòng phòng leo lên giường mà ko nhìn thấy ư,"
2669, username  hỏi lũ nó xem lũ nó có mù bẩm sinh k
2670,Ẳng rồi
2671,Kali
2672, username  i ốt
2673," username  mi làm việc đó chưa thành thạo lắm đâu .. để ta làm mẫu việc đó với mẹ mi cho mi nhìn mà học tập.. mỗi lần cho vào rút ra là mẹ mi đánh vần tiếng Việt A,Á Ớ tròn vành vẹn chữ không sai từ nào đây này"
2674, username  anh yêu em
2675, username  hỉu lầm
2676,gia đình sum họp đấy. cờ cắm trên đầu giường. chắc cả nhà khát nước à ???
2677,Thấy cờ như thấy pháo.
2678, username 
2679," username  ÔNG CHA TA CÓ CÂU: "" CỤC CỨ/T TREO ĐẦU GIƯỜNG"" CẤM CÓ SAI"
2680,Chúc vợ chồng hắn đu càng thành công qua Mỹ bám cho chắc không lại làm cái tủm xuống biển
2681,"T nhìn là thấy dàn xếp cố tình quay để lấy lòng bọn cali rồi. Chứ cái ly như thế méo ai để ở trên cái đầu giường bé tí, ngủ va tay nó đổ mẹ vào mặt"
2682,Toàn nghệ sĩ bẩn
