comments,nametag
"Trần Hoàng Văn ngu cỡ này thì bênh cl gì =)), thấy cứt ở đầu giường mà vẫn chơi đùa được thì chỉ có chó thôi nhé, con người không ai sống như vậy đâu.",Trần Hoàng Văn
Trần Hoàng Văn thế nó đăng đàn giải thích làm gì :)),Trần Hoàng Văn
"Trần Hoàng Văn ko.phải của họ nhưng mày vô đó thấy cưt mày vẫn để đấy mày vui đùa chơi như ko.thấy gì , mày vẫn ngủ dưới đống cưt đấy ?? Hay là cục cưt đó với mày đã quá thân thuộc rồi nên mày cảm.thấy bình thường nên kệ nó ?? Cưt ko phải của mày nhưn… See more",
"Trần Hoàng Văn đi hát cho tổ chức phản động, xong chơi thân với hội ủng hộ cờ 3/ vậy b nói xem ng ta có vô tình, hay ko biết gì về lá cờ đó ko ạ?",Trần Hoàng Văn
"Anh Mai bạn ơi nên phân biệt rõ cái nào chính trị cái nào văn
Hoá... đi hát chứ có đi hoạt động chính trị đâu... ko lẽ qua TQ hát hay nhà có cờ TQ là lại phản động bán nước!??? Vs lại bạn ăn nói thiếu văn hoá...từ ngữ thô tục... ai coi trọng",Anh Mai
Trần Hoàng Văn b có chắc nó đi hát nó ko lồng chính trị vào ko ạ? Và với 1 ng vừa là Đảng viên vừa là Thạc Sỹ chẳng ai đi hát cho bọn treo cờ 3/ cả. Thậm chí còn chơi thân với nhiều ng tuyên truyền cờ 3/. Đây chỉ là bài thanh minh của phía NM thôi. Cò… See more,Trần Hoàng Văn
Anh Mai đó ko chắc mà các bạn đã đi áp đặt ng ta vô số tội... muốn biết họ có hay ko phải điều tra... rồi kết luận đó là nguyên tắc... Đằng này chưa j đã cho ng ta là có lỗi... luật pháp ko có như vậy thưa bạn... chơi vs người liên quan j người đó theo… See more,Anh Mai
Anh Mai có thì đã bị bắt... đừng nói ko bạn à... khi nào có kết luận điều tra thì mới chính xác... chưa có là ko có lỗi... đừng phán khi chưa có kết quả... lời nói của con người nó tàn ác lắm...,Anh Mai
"Trần Hoàng Văn giọng văn sặc mùi tẩy trắng, trừ khi bị mù thì mới thông cảm được",Trần Hoàng Văn
Nguyễn Thắng bạn ơi khi nào có kết luận điều tra phán họ có tội thì mới có tội.... các bạn chẳng là gì chưa biết sự thật là j... mà phán ng ta như đúng rồi... lời nói của con người cũng thâm độc lắm...,Nguyễn Thắng
Trần Hoàng Văn cái này không cần phải cơ quan điều tra bạn nhé. Lời nói không thâm độc thì làm sao có thể loại bỏ được những loại như thế này. Những vấn đề cá nhân thì tôi không ý kiến nhưng riêng động đến tổ quốc thì bất kì ai miễn là công dân việt na… See more,Trần Hoàng Văn
"Trần Hoàng Văn m nói ở đây đã là Đảng viên thì dính đến 3/ là thân mang tội rồi b ơi. Hơn nữa có phải ng Mỹ nào cũng treo cờ 3/ đâu ạ. Đây vốn là vấn đề rất tế nhị, nó liên quan đến cả quá trình lịch sử của đất nước, chúng ta trẻ chúng ta ko hiểu hết d… See more",Trần Hoàng Văn
"Nguyễn Thắng tôi là ng bth... cũng chẳng nghe họ hát... nhưng cái j cũng phải có chứng cứ kết luận... dựa vào mấy lời nói như các cư dân mạng mà hại biết bao nhiêu người rồi... cho nên mới nói...chưa biết sự thật là gì mà phán như đúng rồi... sợ nhất cộng đồng mạng
...",Nguyễn Thắng
Trần Hoàng Văn bạn sợ cộng đồng mạng sao còn vào những topic như này làm gì? nhắc lại rằng có những thứ có thể chờ đợi riêng tổ quốc thì không bạn nhé.,Trần Hoàng Văn
Trần Hoàng Văn Làm người nổi tiếng thì phải chấp nhận dư luận xã hội. Nội dung đăng lên Mxh có tầm ảnh hưởng thì tự phải xem xét chọn lọc. Bạn thấy nó bình thường nhưng dân tộc tôi thì KHÔNG. Ok?,Trần Hoàng Văn
Anh Mai đó chỉ là sơ xuất... bạn còn nói vậy... sao chưa j đã đổ lỗi cho họ là 3/ phản động... đến sợ cư dân mạng... cho nên mới nói cái đáng sợ là cư dân mạng đặt điều bịa chuyện khi chưa biết sự thật... chứ chuyện rất là bth... lá cờ nằm đúng chỗ của… See more,Anh Mai
"Trần Hoàng Văn b vẫn bênh dc tài thật. Trước đó nói với b là ng ta đi hát cho nhóm mà cái nhóm đó đi đâu, làm gì đều kèm theo cờ 3/ nha. Rồi chơi thân với những ng trong nhà thay vì ảnh bác, cờ đỏ sao vàng thì treo cờ 3/. Thì b lại kêu là văn hóa ko li… See more",Trần Hoàng Văn
"Bạn buồn cười... họ bên họ chứ có ở vn đâu mà bạn cứ đòi cấm người ta...
...",
"Trần Hoàng Văn Bạn đừng cố biện hộ. Có những thứ có thể thông cảm, riêng chuyện này thì không thể. Bạn đang dần lòi ra cái đuôi của mình rồi đó. tốt nhất b nên im lặng",Trần Hoàng Văn
Trần Hoàng Văn con này nó là 3/// chính gốc nhé. Éo phải vô tình cl gì cả?,Trần Hoàng Văn
Lê Trường Phong chưa biết j nói như đúng rồi...,Lê Trường Phong
Trần Hoàng Văn mở to cái mắt ra mà đọc. Nói mãi mà cái não éo vỡ ra được tí nào!,Trần Hoàng Văn
Lê Trường Phong tôi cũng xem họ có bị xử phạt ko...,Lê Trường Phong
Lê Trường Phong để xem nhà nước có xử phạt họ ko nha,Lê Trường Phong
Lê Trường Phong gửi hình chẳng liên quan j,Lê Trường Phong
Trần Hoàng Văn thôi thôi. Với cái não như của m. Như thế mà còn éo hiểu gì t biết rồi. Éo thèm giải thích với m làm lol gì nữa mệt ng. Dkm ngu thì nó cũng nhu vừa vừa thôi.,Trần Hoàng Văn
"Lê Trường Phong
ăn nói ko có văn hoá thì làm j đủ trình để phản biện! Cùng chờ xem họ có bị nhà nc xử phạt ko nhé... lòng dạ con ng lúc nào ko muốn vùi dập ng khác...",Lê Trường Phong
Trần Hoàng Văn ngu như ông bọn 3/// như nó mừng lắm! Vào trang cá nhân của nó mà xem,Trần Hoàng Văn
Nguyễn Văn Tiến cái j cũng phải có kết luận điều tra... chưa j đã phán ng ta có tội... tôi sợ toà án mạng lắm,Nguyễn Văn Tiến
"Trần Hoàng Văn ngu như này thì 3/// nó mừng lắm,",Trần Hoàng Văn
"Nguyễn Văn Tiến
... chẳng ai ủng hộ 3/ nó cũng ko có lợi j... mừng làm j rồi lại hụt hẫng",Nguyễn Văn Tiến
Trần Hoàng Văn ngu như này 3/// nó mừng lắm,Trần Hoàng Văn
"Nguyễn Văn Tiến
ko phản biện nổi thì chỉ có rep như này thôi... iu nước thì cũng phải đúng đắn... chứ ko phải đi chù dập...",Nguyễn Văn Tiến
Tại sao trước khi quay không che lá cờ lại hả Trần Hoàng Văn? Chắc chắn đây là lũ NÔNGNÔ ĐẦNĐỘN nên 0 biết cách che,
Trần Hoàng Văn . Ở đây để xem nhà nước có xử phạt không. Nhớ đừng xoá cmt nhé. Không tẩy trắng được đâu mà bênh,Trần Hoàng Văn
Trần Hoàng Văn lấy ví dụ bạn được người ta mời đến nhà để ăn cơm mà trên mâm cơm lại có bát cứt to như tổ bố nhà bạn thì liệu khi bạn thấy thì bạn phản ứng ra sao? Bạn định chửi chủ nhà rồi bỏ về hay vẫn vui vẻ ngồi ăn coi như không có gì cả và tự giả… See more,Trần Hoàng Văn
Trần Hoàng Văn ơ cái ịtđ mẹ mày. Mày thử đăng bài lên trang cá nhân bênh 2 con vượn đấy xem nào.,Trần Hoàng Văn
"Trần Hoàng Văn
họ có lỗi với cả dân tộc này chứ éo gì riêng tôi...",Trần Hoàng Văn
Trần Hoàng Văn chúng nó có tội thì dân mạng mới xét! Ngu như này 3/// nó mừng lắm,Trần Hoàng Văn
"Dân mạng cũng thấy trang cá nhân của chúng nó, chỉ như lũ 3/// mới không thấy thôi, như mày là 1vd",
Trần Hoàng Văn nhìn thấy không ? Hay mù dở,Trần Hoàng Văn
"Nguyễn Văn Tiến ghê vậy sao... áp đặt ng ta có tội... toà án mạng à
... có điều tra... kết án ko mà phán như đúng rồi",Nguyễn Văn Tiến
Trần Hoàng Văn haizzz phí thời gian với một thằng ngu! Mắc mệt! Cãi nhau với 1 thằng ngu thì đúng là nó sẽ kéo mình ngang với nó!,Trần Hoàng Văn
"Nguyễn Văn Tiến
các bạn có điều tra kết luận án cho ng ta ko mà cứ bắt ng ta có tội... toàn nói lời cay nghiệt chù dập ng khác... ko có văn hoá ko có tư duy phản biện... non íu kém",Nguyễn Văn Tiến
Trần Hoàng Văn nhờ mấy thành phần này trên mxh mà việc đi đọc bình luận dạo chưa bao giờ là chán =]],Trần Hoàng Văn
"Trần Hoàng Văn nói thật đi vk ck nó trả cho mày bao tiền, hay mày cũng là đồng loại",Trần Hoàng Văn
"Kim Hoang Anh
... sống đúng pháp luật... nào toà kết án thì có tội... các giang cư mận bớt thay toà đi...
hay tập tành làm toà án mạng",Kim Hoang Anh
"Trần Hoàng Văn ba que thì cút, càng nói thì ng khác càng chửi cho mày thôi, bày đặt pháp luật, mày giỏi mày đăng ảnh cờ kia lên tao xem",Trần Hoàng Văn
Kim Hoang Anh tôi đâu ủng hộ 3/... có các bạn đi chửi ng khác thôi chứ... ăn nói thì thiếu văn hoá... ko có tư duy phản biện... mở mồm là đi chửi đi chù dập ng khác... đến lúc bản thân có lỗi rồi đi xin lỗi ng khác ko chấp nhận kiểu như bạn bây h... th… See more,Kim Hoang Anh
"Trần Hoàng Văn mày càng nói càng ngu, thế tao hỏi mày con osen kia có phải ng nổi tiếng k, đc ăn học đến giảng viên thanh nhạc, vào cả đảng mà ko biết, bố cái thăng ngu lâu dốt bền, đc vk ck nó cho tý cứt nào chưa đi bênh,",Trần Hoàng Văn
Kim Hoang Anh thế bạn xem ng ta tl báo chí chưa... ở nhà ng khác... quay vô tình dính vô... đã xl rồi... đâu có cố í zoom vô hay cầm cờ trên tay... đã là vô tình làm gì mà chù dập ng khác thế... đến lúc bạn có lỗi hay con bạn có lỗi ng ta chù dập cho b… See more,Kim Hoang Anh
Trần Hoàng Văn ng khác cái con cặc. Đm bớt bênh nhau mù quáng lại. Đm đã làm tới tận chức giảng viên âm nhạc; được đi học ở nc ngoài. 1 thằng mặc áo bộ đội VN đi diễn ko ít. 2 đứa nó đủ biết tầm quan trọng của truyền thông nó là như nào. 2 vợ chồng lúc… See more,
Trần Hoàng Văn lúc đẻ não m bị kẹt ở mép l r à,Trần Hoàng Văn
Trần Hoàng Văn cố chấp thật đấy,Trần Hoàng Văn
"Kiên Đinh ăn nói vô văn hoá... toàn các giang cự mận cho mình quyền phát xét ng khác... trong khi bản thân thì ăn nói vô văn hoá... chắc ko được dậy dỗ à???
suy nghĩ của các bạn chỉ biết vùi dập ng khác... ăn nói sao mốt con cái nó nói lại y như vậ… See more",Kiên Đinh
"Trần Hoàng Văn k xử phạt thì những ng yêu nước như chúng tôi trừ bạn, cũng sẽ tẩy chay nhé",Trần Hoàng Văn
"Kiên Nấm
chỉ nhìn một phía phán người ta có tội... rồi tẩy chay... mà ko hề nghe lý giải... sợ thật.... đến lúc con cái bạn cũng ko nghe bạn nói đâu",Kiên Nấm
"Trần Hoàng Văn bạn ơi, phải tẩy chay hình ảnh gợi nhớ chế độ mỹ ngụy chứ, như đường xá, cầu cống, nhà cửa thời xưa phá rồi xây mới, không qua làm ăn hay qua định cư ở mỹ, không sài đồ mỹ đế, iphone mạng mẽo các kiểu...ấy mới là yêu nước nha",Trần Hoàng Văn
Trần Hoàng Văn rõ như ban ngày còn cãi j nữa. Đọc thêm báo đi bác ạ.,Trần Hoàng Văn
"Trần Hoàng Văn bạn mới tàn ác. Nhân từ với kẻ thù là tàn ác với chính mình, chính gia đình mình và tàn ác với chính đồng bào mình đó. Nào là nghệ sĩ ưu tú, rồi giảng viên này kia nhưng nhìn thấy cờ 3 que lại k biết, đến nhà ngta nhưng phát hiện ngta là… See more",Trần Hoàng Văn
Nguyễn Thu Trang tôi ko kết tội họ khi mình chưa biết chính xác... còn các bạn vùi dập người ta mà ko thèm nghe giải thích hay chưa biết sự thật... bản tính của các bạn là luôn luôn nghĩ xấu về người khác... luôn đổ tội luôn muốn ng khác sai... thử hỏi… See more,Nguyễn Thu Trang
M cùng bầy đàn với 2 vợ chồng nó à...rọ mõm vào ko ra đường nta bắt đấy...,
"Trần Hoàng Văn người Việt Nam thì chết đường chết chợ chứ đéo có từ điển sống nhờ ở đậu bọn bán nước,ở nhờ cả bọn 3 que bán nước thà tao chết bờ chết bụi còn hơn!",Trần Hoàng Văn
Kiên Đinh ăn nói ko có văn hoá... ko tôn trọng người khác...ko biết biện luận ko biết phản biện lại đi nói bậy,Kiên Đinh
"Nguyen Anh Hieu bớt xạo đi... nói hay lắm...
chết chạy mất dé...",Nguyen Anh Hieu
"Trần Hoàng Văn cái loại 3 que như chúng mày làm sao hiểu đc sự mất mát và hi sinh của các anh hùng liệt sĩ,chúng mày mới ở cả loại chúng nó thôi,nhân từ cả loại bán nước ở cả chúng nó khác gì súc vật đâu!",Trần Hoàng Văn
"Trần Hoàng Văn hhh t chửi cho vui thôi chứ biện luận với phản biện gì với lũ mất não như m
...vào chuồng ngủ đi",Trần Hoàng Văn
Trần Hoàng Văn theo m mới dc biết thì bước đầu bị khai trừ khỏi Đảng và buộc thôi việc ở Nhạc Viện. Còn phía sau chưa ai nói dc. Đó. Rồi là đã sai chưa,Trần Hoàng Văn
Nguyen Anh Hieu thanh niên này kiểu có vde ấy b. Nên thôi. Càng nói m cành mệt.,Nguyen Anh Hieu
Nguyen Anh Hieu chẳng ai ủng hộ 3/ cả... đừng vu oan... họ cũng ko nói ủng hộ hay cầm cờ... một lũ bầy đàn trên mạng vô áp đăth ng ta là 3/... trong khi ko tìm hiểu sự việc... bản thân mấy ngừoi đã ko muốn nghe gải thích thì h cho họ đúng cũng thành sa… See more,Nguyen Anh Hieu
Anh Mai vấn đề nằm ở chỗ chỉ nhìn một phía... ko nghe giải thích... đã buộc tội ng ta... bản chất luôn nghĩ xấu ng khác nên cũng nhìn lại bản thân đi...,Anh Mai
"Trần Hoàng Văn cái này b mới buồn cười nè. Họ bên họ nhưng NM ở Việt Nam mà, có chăng là sang chơi thôi, mắc mớ gì bao nhiêu nhóm từ thiện ko đi lại đi hát cho bọn đó. Rồi cái cờ nó lù lù đó nếu có thích quay thì cất đi. Mắc gì phát cho người dân Việt … See more",Trần Hoàng Văn
Trần Hoàng Văn nhà nước ng ta cũng đã ra quyết định rồi. Còn kêu ko điều tra. Ôi chao....,Trần Hoàng Văn
"Trần Hoàng Văn Thế à,yêu nước vào nhà bọn vnch ngày trước còn có cờ mà bảo k biết tao ỉa lên đầu bọn bán nước,chúng nó cút khỏi đất nước tao thì xong chứ đừng quay về cắn rồi phá đất nước tao.",Trần Hoàng Văn
Anh Mai mẹ ơi.... từ 2019 rồi... đã ko là đảng viên hay giảng viên... chứ ko phải vụ này,Anh Mai
Anh Mai tuyên truyền j... tìm bằng chứng họ tuyên truyền đi...,Anh Mai
Trần Hoàng Văn vì sao lâu nay ko ai nói gì mà giờ cả 2 bên phải đồng loạt lên tiếng thì biết rồi ha.,Trần Hoàng Văn
Trần Hoàng Văn hazz. Đầu óc thế này hỏng cả 1 thế hệ,Trần Hoàng Văn
Anh Mai do lũ lắm chuyện như các bạn thôi... ng ta ko là đảng viên ko là giảng viên từ 2019 rồi... h lôi ra kêu bị khai trừ do phản động,Anh Mai
Anh Mai thế hệ như các bạn luôn nghĩ xấu ng khác... đúng đáng sợ... ko thèm nghe họ giải thích?,Anh Mai
"Trần Hoàng Văn nghĩ xấu cái gì. Vì sao bị khai trừ khỏi đảng? Ko có trách nhiệm, ko làm đúng theo điều lệ, vi phạm kỷ luật, ở đó mà tự nhiên bị khai trừ",Trần Hoàng Văn
Anh Mai chuyện của 2019... là chuyện của ng ta.... ko liên quan j mình... chuyện bây h khác... các bạn hay áp đặt chung lại vs nhau...chứ ng ta nói ng ta ủng hộ 3/ à? Có ko? Có cầm cờ vẫy vẫy ko? Có ko... các bạn ko biết j mà phán như thật... có phải đáng sợ ko?,Anh Mai
Trần Hoàng Văn nó sang biểu diễn cho tổ chức 3/ đấy,Trần Hoàng Văn
"Trần Hoàng Văn m có hiểu vấn đề k chuyên hát yêu nước mà thấy cái giẻ lau đó k dẹp mẹ đi còn quay cho người ta xem, thách thức dư luận à.",Trần Hoàng Văn
Trần Hoàng Văn mắt nó bị mù à ông bạn,Trần Hoàng Văn
Trần Hoàng Văn ba que trá hình là đây.,Trần Hoàng Văn
Trần Hoàng Văn giảng viên đảng viên lại ko biết cờ 3/// à rồi lại kêu ở nhà người khác nên không biết có cờ người ta để đó? Ok ko biết có cờ nhưng ở nhà của 3/// thì bằng thừa nhận đang chung hội với 3/// đó ạ. Chẳng có gì là buộc tội và cũng chẳng có … See more,Trần Hoàng Văn
"Lê Trường Phong Nó giả n.g.u câu tương tác đấy, đừng mất thời gian tranh luận nữa bạn, mình mà cãi dai theo góc nhìn của phe phản động cn là chọc c.h.ó thành công đấy",Lê Trường Phong
"Trần Hoàng Văn đùa à, năm nay 3 tuổi hả",Trần Hoàng Văn
Trần Hoàng Văn mày cũng 3/// phải ko,Trần Hoàng Văn
Trần Hoàng Văn cụt tay hay gì kb cất đi chỗ khác. Giờ m vào phòng có cắm cờ triều tiên và quay đăng lên bên mỹ thử xem. Có kịp giải thích k :))),Trần Hoàng Văn
Trần Hoàng Văn Đó là ý thức dân tộc. Đừng nói vào phòng k thấy rồi quay đăng lên. Hoàn thành giấc mơ Mỹ ok muốn đi đou thì đi. Nhưng lại để cờ 3 sọc dính vào ngay bài đăng. Đính chính lại cũng k có 1 lời xin lỗi đất nước. Ai cho hoà bình tự do để phát … See more,Trần Hoàng Văn
"Trần Hoàng Văn đag còn trẻ chưa hiểu đc hết tác hại của việc ng nổi tiếng. để cờ chế độ cũ hại nước hại dân lọt lên trên mạng đâu. Gác lại quá khứ nhưng k đc quên. Đám 3 sọc ngày nào cũng chống phá đưa tin bôi nhọ, xuyên tạc mọi thứ. Lquan an ninh quốc gia chứ kp đơn giản",Trần Hoàng Văn
Trần Hoàng Văn có lỗi vs tổ quốc của chúng tao .Ok,Trần Hoàng Văn
"Trần Hoàng Văn đúng vậy như bọn chó công giáo trước vậy đến lúc bán nước cầu vinh mới biết thì muộn rồi, nói chung là tẩy chay cho về lao động chân tay, đấy là phòng ở riêng nhìn vào thấy cờ 3 que k cất vứt khỏi tầm mắt đi thì là không có tinh thần yêu… See more",Trần Hoàng Văn
"Trần Hoàng Văn Ngọc Mai nghe nói còn là giảng viên vậy trình độ của bạn ấy ko phải dạng vừa & nhận thức XH cũng phải tầm cỡ rồi bạn nhé !
Người có trình độ , có học thức , có tầm ảnh hưởng với XH như vậy thì
việc làm của họ dù vô tình hay cố ý cũng đều khó chấp nhận !",Trần Hoàng Văn
Nguyễn Thắng Ủng hộ bạn!,Nguyễn Thắng
"Trần Hoàng Văn Họ có lỗi với Tổ Quốc , với đồng bào , với những hy sinh xương máu của bao người con VN yêu nước chân chính đã ngã xuống để bảo vệ một màu cờ duy nhất ngày hôm nay bạn nhé!",Trần Hoàng Văn
"Trần Hoàng Văn mày đăng hình mày ko xem lại à, bớt ngu lồn lại,dân họ giờ hiểu biết hơn mày nhiều",Trần Hoàng Văn
Trần Hoàng Văn tội phản quốc là có lỗi với toàn bộ dân VN,Trần Hoàng Văn
"Trần Hoàng Văn thôi thôi, loại m mà đi ở nhờ người khác, bảo m bán nước m cũng làm à",Trần Hoàng Văn
Trần Hoàng Văn thra e chả bênh ai. Nhung ngta đang o nuoc bạn. O nhờ nuoc bạn. Chả le phòng cua nhà họ có cờ ây. Mình ở nho minh lại bao ho cât đi à. Cung như nước ngoài họ sang Vnam. Họ chup ảnh cờ VNam thi chả lẽ họ la phản động của nước họ a. GI… See more,Trần Hoàng Văn
Kim Hoang Anh chắc cũng đồng loại đó,Kim Hoang Anh
Lê Hữu Anh Tài đúng bạn ạ. Mấy cái đứa bênh bố bênh mẹ này cn hay văn vẻ cao thượng lắm,Lê Hữu Anh Tài
"Phan Tuấn Anh tự nhiên dính cái cờ sau lại phải đi xin lỗi?... trong khi ko cố tình chỉ là cam lướt qua, cờ cũng ko phải của họ...? Thế ai đó cầm cờ đi sau bạn bạn dính trong hình bạn cũng phải đi xl à??? Phải hiểu cái nào cố tình cái nào vô tình nó lọ… See more",Phan Tuấn Anh
Phan Tuấn Anh bác nói với thằng đần làm gì.,Phan Tuấn Anh
Trần Hoàng Văn sao lớn rồi mà dân trí thấp quá v em,Trần Hoàng Văn
Trần Hoàng Văn cali 3/ thì nín,Trần Hoàng Văn
Trần Hoàng Văn có anh em họ hàng gì nhà 3/ đó à.,Trần Hoàng Văn
"Cứ đọc tuyên ngôn độc lập 3 lần đi rồi nói chuyện tiếp. Thể hiện yêu nước còn méo dám thì giải thích ai nghe. K phán xét, không buộc tội, nhg đứng trk dư luận như vậy thì thể hiện lòng yêu nước rõ ràng xem nào. Giải thích qq",
Thạch Tóp Tóp chẳng ai ủng hộ 3/... kết luận người ta thì cũng phải nhiều hướng... ng ta cũng đâu có điên công khai tư tưởng để bị dân chúng nó chửi... có cộng đồng mạng áp đặt ng ta thôi...,Thạch Tóp Tóp
Trần Hoàng Văn thôi tôi xin. đừng mang giọng điệu của những kẻ phản diện ra để nói chuyện. nhìn về trước mắt kìa mà nói. sự thật thì vẫn là sự thật thôi. không nên nguỵ biện làm gì cả cho mắc mệt.,Trần Hoàng Văn
Trần Hoàng Văn nó k điên đi công khai đâu. Chẳng qua là lỡ quay mà quên dấu đi.,Trần Hoàng Văn
Thạch Tóp Tóp các bạn chỉ biết phán xét thôi.. muốn buộc tội ai phải có kết luận điều tra bạn à... các bạn lấy gì chắc chắn là sự thật ng ta theo tư tưởng đó... bạn có điều tra à???,Thạch Tóp Tóp
AT Guy ko biết chắc thì mình đợi cơ quan nhà nước làm việc... chưa gì cả nhân loại vô áp đặt...,AT Guy
"Thạch Tóp Tóp ủa bạn thành vai chính khi nào vậy???
ng khác thành vai phản diện khi nào vậy.. đạo diễn à???",Thạch Tóp Tóp
Trần Hoàng Văn éo phải của tao nhưng chẳng hạn tao đến chỗ khác ngủ mà mở phòng ra nó đập lù lù vào mặt là tao quẳng cụ vào sọt rác luôn,Trần Hoàng Văn
"Nguyễn Văn Mạnh
... ko phải ở vn đâu mà quăng... nó kiện cho chứ đó mà quăng... nên nhớ sự việc ở Mỹ... mà dân chúng vn cứ đòi như ở vn... đồ của ng ta của nhà riêng ng ta...",Nguyễn Văn Mạnh
"Trần Hoàng Văn xem cách phản biện của bạn thì tôi biết.
1. Bạn nguu mà bảo thủ
2. Bạn đang bú dái nhà thằng đó… See more",Trần Hoàng Văn
Trần Hoàng Văn thế bác có biết tại sao phim trung chỉ vô tình cài cái bản đồ hình lưỡi bò lại bị cấm sóng ko?,Trần Hoàng Văn
Trần Hoài Thu phải hiểu cái nào cố í... nào vô í... chứ ai điên cố đưa vô cho cả nước nó chửi... cũng chẳng được lợi lộc j... rõ là vô tình thôi...,Trần Hoài Thu
"Trần Hoàng Văn kể ra bác cũng bao dung,chứ phần đông người VN đều có lòng tự tôn dân tộc nên khó có thể chấp nhận hình ảnh về lá cờ 3///.xem những cái clip nó diễu hành,bôi nhọ,xuyên tạc là đ*o thể chung khung hình đc.nghệ sĩ VN sang đó biểu diễn vẫn n… See more",Trần Hoàng Văn
Trần Hoàng Văn chúng t đổ nhầm còn hơn bỏ sót nhá. NSUT là ng có ảnh hưởng vs XH. Nên càng k đc. Kể cả m khi vào 1 căn phòng lạ. K ai có kiểu nhảy lên giường thế đâu. Ít nhất là quan sát xung quanh. Nếu 2 vợ chồng nó bị khiếm thị thì k ai trách cả. Đây… See more,Trần Hoàng Văn
ThạchCao ThànhĐạt đổ nhầm??? Phòng của chủ nhà ko phải của họ... trên đất mỹ ko phải vn... đồ ở mỹ mà dân chúng cứ đòi này kia là sao... bên đó ko cấm... ở đâu phải theo luật pháp ở đó... lấy quyền j mà kết tội ng ta khi ko có điều tra kết án... muốn l… See more,ThạchCao ThànhĐạt
Trần Hoài Thu bạn phải hiểu là cố tình đưa vô nó khác vô tình... ng ta cũng lên tiếng rồi ... có ai ủng hộ 3/ đâu?... có dân mạng nó áp đặt ng ta là ủng hộ thôi... dân chúng vn lúc nào cũng muốn ng khác sai hạ bệ họ... bao vụ rồi lạ j cộng đồng mạng...,Trần Hoài Thu
Trần Hoàng Văn sao lại k liên quan. Nó liên quan đến lòng tự tôn dân tộc. Là người của công chúng. Có sức lan tỏa cộng đồng mà lại quay cờ 3 que vào đăng lên mạng. Lớp trẻ bây giờ đx sống hòa bình nên xem nhẹ việc đó. Coi đó là bt. T hỏi b nhé. Là ng y… See more,Trần Hoàng Văn
Trần Hoàng Văn,Trần Hoàng Văn
"Trần Hoàng Văn nếu 1người chửi thì bth, nhưng nếu bị cả cộng đồng vào chửi ngu thì nên xem lại mình đi. À mà thôi ngay cái giọng văn cãi cùn+sặc mùi câu tương tác đi. K ai cứu đc m lúc này đâu. Nó doxx m lên thì đừng khóc",Trần Hoàng Văn
Tuấn Nguyễn cái khoanh tròn là ai thế bác. Nhìn k rõ,Tuấn Nguyễn
"Trần Hoàng Văn nói luôn là nó biết những người trong đoàn đấy và cả cái nơi chúng ở đều là thành phần chống cộng,người đàng hoàng không ai lại đi giao du với thành phần chống phá đất nước cả.",Trần Hoàng Văn
"Trần Hoàng Văn chỉ có đui con mắt mới không biết , còn chẳng ai đi cắm cái đó ở đầu giường",Trần Hoàng Văn
Trần Hoàng Văn Cãi hay lắm.Bạn quả là cao siêu.Bạn cứ bắt buộc là toà án kết luận thì 2 vk ck nhà đó mới có tội. t cũng nói thẳng chẳng toà án nào kết tội đc cả vì theo luật thì họ ko sai. mà cái họ sai là sai với toàn thể dân tộc Việt Nam( nhớ là dân … See more,Trần Hoàng Văn
Trần Hoàng Văn nó có lỗi với tổ quốc và ông bà cụ tổ nó đẻ ra nó,Trần Hoàng Văn
Bắc Linh Đan nhìn hình chú này thấy bệnh bệnh thế nào ấy nhỉ.,Bắc Linh Đan
"Trần Hoàng Văn ? Up video clip lên là có mục "" Xem trước "" rồi mới bắt đầu đăng tải hay cả lúc bạn chọn video cũng thế. Idol của bạn hay đấy ? Cả cái kiến thức Lịch Sử về VN cũng không biết thì cũng đừng nên mồm bảo ""yêu quốc yêu quê hương"" ... Nghe bu… See more",Trần Hoàng Văn
Trần Hoàng Văn m phải ng việt nam k mà m ghi đc chữ đỗ lỗi??đỗ đỗ cc,Trần Hoàng Văn
Bắc Linh Đan gthich làm j vs mấy thg ăn cứt bốc phét :)) chắc nó cho liếm cứt nên trung thành lắm :)),Bắc Linh Đan
"Nguyễn Thắng nó đang gắng tẩy trắng mướn. Bọn giặt đồ thuê như này cũng đông lắm ! . Nếu có tinh thần dân tộc, đéo, và đéo có cái lá cờ kia. Có nhiều thành phần ko kịp đu càng nên vẫn mong về nước mẽo lắm !",Nguyễn Thắng
Hùng Hoàng m biết mà. Ổ kền kền này mình lạ gì,Hùng Hoàng
Trần Hoàng Văn vô tình chưa ? vô tình chỗ nào ?,Trần Hoàng Văn
Trần Hoàng Văn trước khi đăng video chả xem đi xem lại cả chục lần :)))) giờ thấy cộng đồng mạng phản ứng gắt thì quay lại bảo vô tình :))) nói thế nào cũng tin à phải có chứng kiến và logic chứ,Trần Hoàng Văn
"Trần Hoàng Văn còn bthg ng Vn máu đỏ da vàng ăn cơm XHCN khi thấy ba que kiểu gì cũng thấy nó chướng mắt :))) để đầu giường mà bảo ko nhìn thấy à, đặt ông vào vị trí ở cái phòng đấy ông sẽ nhìn thấy cái gì đầu tiên ? mặt đất à ?",Trần Hoàng Văn
Nguyễn Thắng tôi đọc qua là biết mấy thành phần sủa thuê r :)) nhìn cái văn là biết,Nguyễn Thắng
Huynh Pl lòi ra cả ổ kk,Huynh Pl
Huynh Pl,Huynh Pl
